occurrenceID,countryCode,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,numberOfRoadkill,year,month,day,roadID,roadType,surveyType,roadLength,initialRoadLatitude,initialRoadLongitude,finalRoadLatitude,finalRoadLongitude,surveyPeriod,startYear,finalYear,firstMonthOfTheYear,lastMonthOfTheYear,surveyFrequency,associatedReferences
a497831d-2ce9-4377-a3d3-2dd6ccbdbd1d,BR,Brazil,Ribas do Rio Pardo,-20.4113,-53.8675,WGS84,30,Tapirus terrestris,1,2018,3,26,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
e3589372-ab93-4416-9948-73043d6d2407,BR,Brazil,Ribas do Rio Pardo,-20.4125,-53.2277,WGS84,30,Tapirus terrestris,1,2018,12,13,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
277675f6-b37b-4ea9-8762-c8f1f934e889,BR,Brazil,Ribas do Rio Pardo,-20.415,-53.1619,WGS84,30,Tapirus terrestris,1,2017,4,6,BR262,paved (1 lane),Opportunistic,,,,,,,,,,,,
ab4942f4-e64c-4eff-b84a-53ab37e65f6b,BR,Brazil,Ribas do Rio Pardo,-20.4172,-53.1454,WGS84,30,Tapirus terrestris,1,2019,9,9,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
d8a1f57c-ead5-4f72-b9fa-093900e98ba8,BR,Brazil,Ribas do Rio Pardo,-20.4173,-53.1442,WGS84,30,Tapirus terrestris,1,2019,7,1,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
c884bc09-d416-477d-b276-f080a706373b,BR,Brazil,Ribas do Rio Pardo,-20.4177,-53.1413,WGS84,30,Tapirus terrestris,1,2017,9,8,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
79b05db8-54c3-49aa-a89c-e2a70f26ebc5,BR,Brazil,Ribas do Rio Pardo,-20.4188,-53.1345,WGS84,30,Tapirus terrestris,1,2017,2,6,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
e1e34eee-6948-489f-a27b-ee8bc9072805,BR,Brazil,Ribas do Rio Pardo,-20.4194,-53.1313,WGS84,30,Tapirus terrestris,1,2019,11,5,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
9b27cb5b-af47-4e3d-9808-b79f1d70f1cd,BR,Brazil,Ribas do Rio Pardo,-20.4198,-53.1293,WGS84,30,Tapirus terrestris,1,2017,5,2,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
6bb06bfb-030e-43f9-b055-74240fcc3795,BR,Brazil,Bálsamo,-20.4246,-53.9588,WGS84,30,Tapirus terrestris,1,2017,9,8,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
136a3537-14e9-4503-b575-06119353fd82,BR,Brazil,Ribas do Rio Pardo,-20.426,-53.2446,WGS84,30,Tapirus terrestris,1,2018,11,6,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
1e68a615-a1ae-4bd8-ae74-f1835408ad1f,BR,Brazil,Bálsamo,-20.4285,-53.974,WGS84,30,Tapirus terrestris,1,2017,8,8,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
d20bbfaa-2ae3-4507-b6a6-85f326fd5633,BR,Brazil,Ribas do Rio Pardo,-20.4333,-53.2539,WGS84,30,Tapirus terrestris,1,2018,7,16,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
08706468-cf0c-4583-b600-e27acc4c790a,BR,Brazil,Ribas do Rio Pardo,-20.4351,-53.2563,WGS84,30,Tapirus terrestris,1,2017,5,15,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
1dde2302-2cea-4899-bac4-be83b81f9ea6,BR,Brazil,Bálsamo,-20.435,-53.9894,WGS84,30,Tapirus terrestris,1,2018,12,13,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
ccc77dd7-3f58-4a13-8172-33e78405f4e2,BR,Brazil,Ribas do Rio Pardo,-20.4359,-53.0832,WGS84,30,Tapirus terrestris,1,2019,9,9,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
f3e3fbc4-633f-4824-b588-0acd182b64d7,BR,Brazil,Ribas do Rio Pardo,-20.436,-53.2574,WGS84,30,Tapirus terrestris,1,2019,10,8,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
1cffe028-f918-4086-9cbc-68a65bccd784,BR,Brazil,Ribas do Rio Pardo,-20.4391,-53.2668,WGS84,30,Tapirus terrestris,1,2017,6,14,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
d3b0e4c6-1ffa-4519-b2d8-e044cca0d8f8,BR,Brazil,Ribas do Rio Pardo,-20.4396,-53.2689,WGS84,30,Tapirus terrestris,1,2017,2,6,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
1420c4b0-9eb1-4e95-9900-7a88357c57e1,BR,Brazil,Ribas do Rio Pardo,-20.4398,-53.27,WGS84,30,Tapirus terrestris,1,2019,9,9,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
