individual,hour,distance_meters,distance_km,num_points,distance_per_point
AF_01_JOANA,0,18576.54378067933,18.57654378067933,26,714.4824531030512
AF_01_JOANA,1,21129.301605667493,21.129301605667493,24,880.3875669028122
AF_01_JOANA,2,25301.684189037565,25.301684189037566,33,766.717702698108
AF_01_JOANA,3,23505.452731281468,23.50545273128147,29,810.5328528028092
AF_01_JOANA,4,54520.03296802547,54.520032968025475,58,940.0005684142322
AF_01_JOANA,5,57502.117184250645,57.50211718425064,82,701.2453315152518
AF_01_JOANA,6,46481.74373704973,46.481743737049726,76,611.6018912769702
AF_01_JOANA,7,27981.537021616346,27.981537021616347,55,508.7552185748427
AF_01_JOANA,8,14388.752267937327,14.388752267937328,20,719.4376133968664
AF_01_JOANA,9,10857.952613481293,10.857952613481293,20,542.8976306740647
AF_01_JOANA,10,10705.544007915927,10.705544007915927,23,465.4584351267794
AF_01_JOANA,11,10527.090033570723,10.527090033570722,19,554.0573701879327
AF_01_JOANA,12,16722.35587292554,16.722355872925537,21,796.3026606155018
AF_01_JOANA,13,10046.02240523719,10.04602240523719,17,590.9424944257171
AF_01_JOANA,14,11405.435993250063,11.405435993250062,15,760.3623995500042
AF_01_JOANA,15,16559.946333196844,16.559946333196844,18,919.9970185109357
AF_01_JOANA,16,13700.977993888642,13.700977993888642,18,761.1654441049245
AF_01_JOANA,17,18874.83943442311,18.87483943442311,23,820.6451928010048
AF_01_JOANA,18,31520.598264515673,31.520598264515673,42,750.4904348694208
AF_01_JOANA,19,42261.6344258499,42.2616344258499,71,595.2342876880268
AF_01_JOANA,20,55783.48026318259,55.78348026318259,86,648.6451193393324
AF_01_JOANA,21,41606.1156266634,41.606115626663396,68,611.8546415685794
AF_01_JOANA,22,22354.90703272406,22.354907032724057,29,770.8588631973813
AF_01_JOANA,23,18541.12928210826,18.541129282108262,30,618.0376427369421
AF_02_PAULETE,0,14241.42802919279,14.24142802919279,23,619.1925230083822
AF_02_PAULETE,1,11468.426158920533,11.468426158920533,17,674.6133034659136
AF_02_PAULETE,2,12437.262085327742,12.437262085327742,21,592.2505754917972
AF_02_PAULETE,3,10324.02192167834,10.32402192167834,18,573.5567734265745
AF_02_PAULETE,4,34067.6977456389,34.0676977456389,31,1098.9579917948033
AF_02_PAULETE,5,41625.75871555785,41.62575871555785,40,1040.6439678889462
AF_02_PAULETE,6,20103.26452814717,20.10326452814717,29,693.2160182119713
AF_02_PAULETE,7,13909.03992115924,13.90903992115924,16,869.3149950724525
AF_02_PAULETE,8,13195.508245839519,13.19550824583952,12,1099.6256871532933
AF_02_PAULETE,9,9207.60070746929,9.20760070746929,7,1315.37152963847
AF_02_PAULETE,10,9209.807040098181,9.209807040098182,11,837.2551854634711
AF_02_PAULETE,11,5472.44299602226,5.472442996022259,7,781.7775708603228
AF_02_PAULETE,12,9806.630654284287,9.806630654284287,12,817.2192211903572
AF_02_PAULETE,13,4551.465422368631,4.551465422368631,4,1137.8663555921578
AF_02_PAULETE,14,7720.954876788264,7.720954876788264,6,1286.8258127980441
AF_02_PAULETE,15,6046.3871265969065,6.0463871265969065,6,1007.731187766151
AF_02_PAULETE,16,10291.364790634781,10.291364790634782,8,1286.4205988293477
AF_02_PAULETE,17,11020.704668397259,11.020704668397258,10,1102.070466839726
AF_02_PAULETE,18,14969.948010893262,14.969948010893262,15,997.9965340595508
AF_02_PAULETE,19,27079.776737250722,27.07977673725072,31,873.541185072604
AF_02_PAULETE,20,37096.04341467165,37.09604341467165,40,927.4010853667912
AF_02_PAULETE,21,26279.43775626181,26.27943775626181,34,772.9246398900532
AF_02_PAULETE,22,11226.728810882922,11.226728810882921,17,660.3958124048777
AF_02_PAULETE,23,16488.374444888374,16.488374444888372,24,687.0156018703489
AF_05_CHUCHU,0,5287.044404662479,5.2870444046624785,10,528.7044404662479
AF_05_CHUCHU,1,9829.022716694608,9.829022716694608,11,893.5475196995098
AF_05_CHUCHU,2,12244.908995662274,12.244908995662273,7,1749.2727136660392
AF_05_CHUCHU,3,16175.559377787986,16.175559377787987,19,851.345230409894
